"Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"Kétāb Chohi Chodchi Mochlā","

        Digital images of. Title: Ketab Chohi Chodchi Mochla. Date: 1314 (1907 AD). Measurements: 22.7cm x 13.8cm. Main text: pp. 1-14. Author: Munsi Abdul Karim. Publisher: Sriyukta Haji Abdul Waheb Saheb. Printer: Sri Mahahmad Abdul Gani Srihatta Bandar Bajar Islamia Press.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/30/9","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1907","Access is for research purposes only."
"Sāt Kanyār Bākhān","

        Digital images of. Title: Sat Kanyar Bakhan. Date: 1332 (1925 AD). Measurement: 22.8cm x 14cm. Main text: pp. 1-13. Author: Saha Nur. Publisher: Sri Mahahmad Abdul Gani. Printer: Sri hatta Bandar Bajar Islamia Press.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/30/10","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1925","Access is for research purposes only."
"Chohi Achitunnabi (Cho[a]hi Achitunnabi)","

        Digital images of. Title: Cho[a]hi Achitunnabi. Date: 1327 (1920 AD). Measurement: 21.5cm x 13.3cm. Main Text: pp. 1-88. Author: Sriyukta Munsi Jafar Ali Saheb. Publisher: Sri Mahahmad Abdul Gani. Printer: Sri Mahahmad Abdul Gani, Sri Hatta Bandar Bajar Islamia Press. The text introduces the Islamic ritual and practices of everyday life in simple terms, and narrates the significance of the different lunar months.

                  
            
              
              View images from this file (92)
            
          
              ","EAP071/30/11","92 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1920","Access is for research purposes only."
"Kétāb Ganjé Éské Élāhi","

        Digital images of. Title: Ketab Ganje Eske Elahi. Date: 1323 (1916 AD). Measurement: 22.1cm x 13.3cm. Main Text: pp. 1-32. Author: Sriyukta Munsi Abdul Ajij Saheb. Publisher: Sriyukta Munsi Abdul Ajij Saheb. Printer: Sri Mahahmad Abdul Gani, Sri Bandar Bajar Islamia Press. Text is described by the author as a 'treasure' book on love for divinity.

                  
            
              
              View images from this file (36)
            
          
              ","EAP071/30/12","36 TIFF images","Book","File","Bengali","Syloti Nagri","1916","Access is for research purposes only."
"Harin nāmā","

        Digital images of. Title: Harin nama. Date: 1336 (1929). Measurements: 22.5cm x 14cm. Main Text: pp. 1-12. Author: Unknown. Publisher: Sri Mahahmad Abdul Gani. Printer: Sri Mahahmad Abdul Gani, Sri Hatta Bandar Bajar Islamia Press.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/30/13","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1929","Access is for research purposes only."
"Julmat Nāmā Kabitā","

        Digtial images of. Title: Julmat Nāmā Kabitā. Date: 1331 (1924 AD). Measurement: 22.9cm x 13.5cm. Main Text: pp. 1-11. Author: Munsi Mosāhéd Ālī. Publisher: Munsi Mosāhéd Ālī. Printer: Srī [Mahahmad] Ābdul Gani Srī Hatta Islāmiā Press. Poem and songs recounting the disaster caused by the flood of 1336 in the town of Silchar in Cachar. Includes a gazal written in Bengali

                  
            
              
              View images from this file (12)
            
          
              ","EAP071/30/14","12 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1924","Access is for research purposes only."
"Rāg Oyajid Nachihat","

        Digital images of. Title: Rāg Oyajid Nachihat. Date: 1331 (1924 AD). Measurement: 20.9cm x 13.3cm. Main Text: pp 1-47. Author: Srīyukta Maulabī Churukh Miya Chaudhurī Sāheb. Publisher: Srīyukta Munsi Mam Nādir Sāheb. Printer: Srī [Mahahmad] Ābdul Gani Srīhatta Bandar Bājār Islāmiā Press. A collection of 87 songs.

                  
            
              
              View images from this file (52)
            
          
              ","EAP071/30/15","52 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1924","Access is for research purposes only."
"Kétāb Radde Kufur","

        Digital images of. Title: Kétāb Radde Kufur. Date: 1314 (1907 AD). Measurement: 21.3cm x 13.1cm. Main Text: pp. 1-24 (page 18 missing). Author: Maulabi Chādek Āli Sāheb. Publisher: Srīyukta Hāji Ābdul Wāheb Sāheb. Printer: Srī [Mahahmad] Ābdul Gani, srīhatta Bandar Bājār Islāmiā Press.

                  
            
              
              View images from this file (24)
            
          
              ","EAP071/30/16","24 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1907","Access is for research purposes only."
"Karināmā","

        Digital images of. Title: Karināmā. Date: 1334 (1927 AD). Measurement: 21.6 x 13.4cm. Main Text: pp. 1-11. Author: Unknown. Publisher: Srī [Mahahmad] Ābdul Gani. Printer: Srī [Mahahmad] Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Karināmā, the story of wealth; a satire on the behaviour of the newly rich.

                  
            
              
              View images from this file (12)
            
          
              ","EAP071/30/17","12 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1927","Access is for research purposes only."
"Chōhi Mufidul Āoyām","

        Digital images of. Title: Chōhi Mufidul Āoyām. Date: 1332 (1925 AD). Measurement: 21.6 x 13.2cm. Main Text: pp. 1-62. Author: Srī Mohammad Ābdul Ājij. Publisher: Srī Mohammad Ābdul Ājij. Printer: Srī [Mahahmad] Ābdul Gani, Srī hatta Bandar Bājār Islāmiā Press. Compilation of religious instruction.

                  
            
              
              View images from this file (63)
            
          
              ","EAP071/30/18","63 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1925","Access is for research purposes only."
"Mufidul Muminin: Volume 1","

        Digital images of. Title: Mufidul Muminin Volume 1. Date: 1317 (1910). Measurement: 21.6 x 12.4cm. Main Text: pp. 1-68. Author: Srīyukta Munsī Irphān Āli. Publisher: Srīyukta Munsī Irphān Āli. Printer: Srī Mahahmad Ābdul Ganī, Srīhatta Bandar Bājār Islāmiā Press. Collection of religious lectures.

                  
            
              
              View images from this file (74)
            
          
              ","EAP071/30/19","74 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1910","Access is for research purposes only."
"Sylhét Nāgrir Pahélā Kétāb o Doi Khūrār Rāg","

        Digital images of. Title: Sylhét Nāgrir Pahélā Kétāb o Doi Khūrār Rāg. Date: 1336 (1929 AD). Measurement: 22.7 x 13.9cm. Main Text: p. 1-14. Author: Unknown. Revised by: Mahahmad Latiph. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Sylhét Nāgri primer.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/30/20","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1929","Access is for research purposes only."
"Puthi Āpaināmā","

        Digital images of. Title: Puthi Āpaināmā. Date: 1320 (1913 AD). Measurement: 21.4 x 12.7cm. Main Text: pp 1-29. Author: Srīyukta Monsi Sājid Miyā. Publisher: Srī Mahahmad Iunuch. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Details of a flood which affected the region in 1320 (1913 AD).

                  
            
              
              View images from this file (32)
            
          
              ","EAP071/30/21","32 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1913","Access is for research purposes only."
"Chahi Sahar Carit","

        Digital images of. Title: Chahi Sahar Carit. Date of text: 1285 (1878-1879) Date of publication 1324 (1917). Measurement: 21.6 x 13.4cm. Main Text: pp 1-102. Author: Āsād (given within main body of text). Publisher: Munsī Ābdur Rahmān Miyā. Printer: Cunīlāl Bhattacharyyā.

                  
            
              
              View images from this file (108)
            
          
              ","EAP071/30/22","108 TIFF images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only."
"Icharūl Hak","

        Digital images of. Title: Icharūl Hak. Date: 1334. Measurement: 17.6 x 11.9cm. Main Text: pp. 1-89. Author: Fakir Haji, Srī Āchān Sah Sāheb. Publisher: Fakir Hai, Srī Āchān Sah Sāheb. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press.

                  
            
              
              View images from this file (92)
            
          
              ","EAP071/30/23","92 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1927","Access is for research purposes only."
"Āsol Kétāb Mohabbatnāmā","

        Digital images of. Title: Āsol Kétāb Mohabbatnāmā. Date: 1325. Measurement: 21.5 x 13cm. Main Text: pp. 1-90. Author: Sadek Ali. Revised by: Mahahmad Hātém Sāhéb. Publisher: Srī Mahahmad Ābdul Gāni. Printer: Srī Mahahmad Ābdul Gāni, Srīhatta Bandar Bājār Islāmiā Press. Romantic narrative poem.

                  
            
              
              View images from this file (92)
            
          
              ","EAP071/30/24","2 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1918","Access is for research purposes only."
"Hālatunnabi","

        Digital images of. Title: Hālatunnabi. Date: ""This book seems to be printed in between 1895-1905"" [text from Nehru College Museum display]. Measurement: 13.1 x 21.6cm. Main Text: pp. 23-262. Missing pages: 1-22, 147-150, 161-168, 187-190, 195-198. Hālatunnabi is the most popular text in the Muslim community in Bengal. According to the poet, the manuscript form was completed in 1262 BE (1853-1854 AD). It narrates in Payār and Tripodi verse the story of Creation and the life of the Prophet Muhammad and his ascension to Heaven

              ","EAP071/31/1","224 TIFF images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only."
"Sylhét Nāgrir Pahélā Kétāb o Doi Khūrār Rāg","

        Digital images of. Title: Sylhét Nāgrir Pahélā Kètāb o Doi Khūrār Rāg. Date: 1360 (1953 AD). Measurement: 11 x 19cm. Author: Abdul Latif. Revised: Mahamad Abdul Latiph. Publisher: Mam Abdul Hussain, Am Munim. Printer: Mam Abdul Hussain, Am Munim, Sylhat Islamia Press. Primer for the Sylhét Nāgri script.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/32/1","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1953","Access is for research purposes only."
"Karināmā","

        Digital images of. Title: Karināmā. Date: 1357 (1950). Measurement: 11.16 x 19.22cm. Main text: pp. 1-11. Author: Unknown. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Satire on the behaviour of the newly rich.

                  
            
              
              View images from this file (12)
            
          
              ","EAP071/32/2","12 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1950","Access is for research purposes only."
"Kétāb Chahi Chadchi Machlā o 130 Faraj","

        Digital images of. Title: Kétāb Chahi Chadchi Machlā o 130 Faraj. Date: 1357 (1950) In the text the author dates the original end of writing at 1297 BE (1890 AD). Measurement: 10.91 x 18.82cm. Main Text: pp. 1-14. Author: Munsi Ābdul Karim. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press.

                  
            
              
              View images from this file (16)
            
          
              ","EAP071/32/3","16 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1950","Access is for research purposes only."
"Chohi AchitunnabiChohi Achitunnabi","

        Digital images of. Title: Chohi Achitunnabi. Date: 1341 (1934). Measurement: 12.3 x 19.9cm. Main Text: pp. 1-88. Author: Srī yukta Munsi Jafar Āli Sāhéb. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Islamic ritual and practices.

                  
            
              
              View images from this file (92)
            
          
              ","EAP071/32/4","92 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1934","Access is for research purposes only."
"Harin nāmā","

        Digital images of. Title: Harin nāmā. Date: 1357 (1950). Measurement: 11.27 x 19.28cm. Main Text: pp. 1-11. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press.

                  
            
              
              View images from this file (12)
            
          
              ","EAP071/32/5","12 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1950","Access is for research purposes only."
"Oyājibul Āmal","

        Digital images of. Title: Oyājibul Āmal. Date: Unknown. Measurement: 11.17 x 18.68cm. Main Text: pp. 5-178 (Title page is missing). Author, Publisher and Printer details unknown. Guide to Islamic practices.

                  
            
              
              View images from this file (172)
            
          
              ","EAP071/32/6","172 TIFF images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only."
"Hajnāmā","

        Digital images of. Title: Hajnāmā. Date: 1337 (1930 AD). Measurement: 11.24 x 19.36cm. Main Text: pp. 1-32. Author: Srīyukta Saha Ābdulla Sāheb. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Advice manual for pilgrims on Haj.

                  
            
              
              View images from this file (34)
            
          
              ","EAP071/32/7","34 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1930","Access is for research purposes only."
"Sanābhānér Puthi","

        Digital images of. Title: Sanābhānér Puthi. Date: 1332 (1925 AD). Measurement: 11.37 x 18.55cm. Text: pp. 3-46. Missing Pages: 2, 6-7, 12-13, 36-37, 42-45. Translator: Ābdul Karim Sahéb. Publisher: Srī Mahahmad Ābdul Gani. Printer: Srī Mahahmad Ābdul Gani, Srīhatta Bandar Bājār Islāmiā Press. Text recounting the thirteenth battle of Muhhamad Hāniphā, son of Hajrat Āli.

                  
            
              
              View images from this file (36)
            
          
              ","EAP071/32/8","36 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1925","Access is for research purposes only."
"Hālatunnabi","

        Digital images of. Title: Hālatunnabi. Date: 1369 (1962 AD). Measurement: 11.93 x 19.98cm. Author: Maulabī Chādek Āli. Publisher: Mahahmad Ābdul Husséin, Am Magni. Printer: Mahahmad Ābdul Husséin, Am Magni. Manuscript completed in 1262 (1853/4 AD). It narrates in Payār and Tripodi verse the story of creation and the life of the Prophet Mohammad

                  
            
              
              View images from this file (266)
            
          
              ","EAP071/32/9","226 TIFF images","Manuscript","File","Bengali","Syloti Nagri","1962","Access is for research purposes only."
"Chohi Candramūkhir Puthi","

        Digital images of. Title: Chohi Candramūkhir Puthi. Measurement: 11.47 x 18.12. Pages: 1-52. The Title page is missing, and so the Author and Publisher details are not known. Love story of Candramukhi, daughter of the King of Gandarbha and Gulshunahar, son of the King of Misar. Appears to be an adaptation of a Persian tale.

                  
            
              
              View images from this file (53)
            
          
              ","EAP071/32/10","53 TIFF images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only."
